Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
BLUE HORIZON,21 West Coast Crescent  #20-03 ,1,86,Strata,1020000,-,11860,1102,26-Jun-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128045,West Region,Clementi
THE PALETTE,105 Pasir Ris Grove  #01-15 ,1,120,Strata,1230000,-,10250,952,26-Jun-18,Condominium,99 Yrs From 20/10/2010,2015,Resale,Private,18,51,518197,East Region,Pasir Ris
CITYLIGHTS,90 Jellicoe Road  #18-31 ,1,67,Strata,1088000,-,16239,1509,26-Jun-18,Condominium,99 Yrs From 05/01/2004,2007,Resale,HDB,8,20,208749,Central Region,Kallang
ARCHIPELAGO,513 Bedok Reservoir Road  #04-46 ,1,78,Strata,1035000,-,13269,1233,26-Jun-18,Condominium,99 Yrs From 01/06/2011,2015,Resale,HDB,16,47,479273,East Region,Bedok
THE MINTON,8 Hougang Street 11  #04-23 ,1,91,Strata,950000,-,10440,970,26-Jun-18,Condominium,99 Yrs From 27/07/2007,2013,Resale,HDB,19,53,534082,North East Region,Hougang
WATERVIEW,77 Tampines Avenue 1  #02-09 ,1,113,Strata,1300000,-,11504,1069,26-Jun-18,Condominium,99 Yrs From 16/06/2010,2014,Resale,HDB,18,52,529782,East Region,Tampines
SAVANNAH CONDOPARK,47 Simei Rise  #03-36 ,1,115,Strata,970000,-,8435,784,26-Jun-18,Condominium,99 Yrs From 29/11/2000,2005,Resale,HDB,18,52,528787,East Region,Tampines
8@WOODLEIGH,8 Woodleigh Close  #06-19 ,1,89,Strata,1250000,-,14045,1305,26-Jun-18,Condominium,99 Yrs From 22/09/2008,2012,Resale,Private,13,35,357903,Central Region,Toa Payoh
THE NAUTICAL,93 Jalan Sendudok  #02-10 ,1,104,Strata,1100000,-,10577,983,26-Jun-18,Condominium,99 Yrs From 29/08/2011,2015,Resale,HDB,27,76,769472,North Region,Sembawang
CASPIAN,56 Lakeside Drive  #03-31 ,1,43,Strata,655000,-,15233,1415,26-Jun-18,Condominium,99 Yrs From 17/03/2008,2012,Resale,HDB,22,64,648318,West Region,Jurong West
WATERFRONT KEY,772 Bedok Reservoir Road  #13-11 ,1,114,Strata,1438888,-,12622,1173,26-Jun-18,Condominium,99 Yrs From 31/10/2007,2012,Resale,Private,16,47,479251,East Region,Bedok
COSTA DEL SOL,82 Bayshore Road  #22-31 ,1,115,Strata,1640000,-,14261,1325,26-Jun-18,Condominium,99 Yrs From 05/05/1997,2003,Resale,Private,16,46,469993,East Region,Bedok
THE TAPESTRY,61 Tampines Street 86  #04-43 ,1,41,Strata,655290,-,15983,1485,26-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528510,East Region,Tampines
QUEENS PEAK,3 Dundee Road  #32-25 ,1,140,Strata,2462000,-,17586,1634,26-Jun-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,Private,3,14,149457,Central Region,Queenstown
THE WARREN,47 Choa Chu Kang Loop  #07-17 ,1,118,Strata,1000000,-,8475,787,26-Jun-18,Condominium,99 Yrs From 21/06/2001,2004,Resale,Private,23,68,689680,West Region,Choa Chu Kang
THE CREST,103 Prince Charles Crescent  #13-12 ,1,129,Strata,2525000,-,19574,1818,26-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,N.A,3,15,159018,Central Region,Bukit Merah
THE ESTUARY,87 Yishun Avenue 1  #09-06 ,1,56,Strata,672000,-,12000,1115,25-Jun-18,Condominium,99 Yrs From 25/06/2008,2013,Resale,HDB,27,76,769133,North Region,Yishun
AQUARIUS BY THE PARK,9 Bedok Reservoir View  #05-01 ,1,83,Strata,880000,-,10602,985,25-Jun-18,Condominium,99 Yrs From 12/06/1996,2001,Resale,HDB,16,47,478930,East Region,Bedok
COSTA DEL SOL,70 Bayshore Road  #14-08 ,1,122,Strata,1700000,-,13934,1295,25-Jun-18,Condominium,99 Yrs From 05/05/1997,2004,Resale,HDB,16,46,469987,East Region,Bedok
CITYLIGHTS,90 Jellicoe Road  #11-30 ,1,83,Strata,1363000,-,16422,1526,25-Jun-18,Condominium,99 Yrs From 05/01/2004,2007,Resale,Private,8,20,208749,Central Region,Kallang
MANDARIN GARDENS,5 Siglap Road  #09-39 ,1,68,Strata,920000,-,13529,1257,25-Jun-18,Condominium,99 Yrs From 08/03/1982,1986,Resale,Private,15,44,448908,East Region,Bedok
A TREASURE TROVE,62 Punggol Walk  #12-27 ,1,85,Strata,1000000,-,11765,1093,25-Jun-18,Condominium,99 Yrs From 09/03/2011,2015,Resale,HDB,19,82,828781,North East Region,Punggol
ECHELON,9 Alexandra View  #21-09 ,1,120,Strata,2450000,-,20417,1897,25-Jun-18,Condominium,99 Yrs From 06/03/2012,2016,Resale,Private,3,15,158742,Central Region,Bukit Merah
PARC OLYMPIA,54 Flora Drive  #07-20 ,1,61,Strata,680000,-,11148,1036,25-Jun-18,Condominium,99 Yrs From 25/01/2012,2015,Resale,HDB,17,50,506870,East Region,Pasir Ris
REFLECTIONS AT KEPPEL BAY,31 Keppel Bay View  #14-92 ,1,114,Strata,1800000,-,15789,1467,25-Jun-18,Condominium,99 Yrs From 15/03/2006,2011,Resale,Private,4,9,98418,Central Region,Bukit Merah
SENNETT RESIDENCE,37 Pheng Geck Avenue  #14-25 ,1,79,Strata,1300000,-,16456,1529,25-Jun-18,Condominium,99 Yrs From 28/11/2011,2016,Resale,HDB,13,34,348232,Central Region,Toa Payoh
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #22-03 ,1,86,Strata,1305000,-,15174,1410,25-Jun-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
CASPIAN,58 Lakeside Drive  #12-33 ,1,119,Strata,1455000,-,12227,1136,25-Jun-18,Condominium,99 Yrs From 17/03/2008,2012,Resale,HDB,22,64,648319,West Region,Jurong West
THE LAKESHORE,31 Jurong West Street 41  #09-31 ,1,107,Strata,1238000,-,11570,1075,25-Jun-18,Condominium,99 Yrs From 22/11/2002,2007,Resale,HDB,22,64,649412,West Region,Jurong West
SKY VUE,1 Bishan Street 15  #07-05 ,1,117,Strata,1860000,-,15897,1477,25-Jun-18,Condominium,99 Yrs From 04/03/2013,2016,Resale,Private,20,57,573910,Central Region,Bishan
THE ESTUARY,89 Yishun Avenue 1  #05-08 ,1,121,Strata,1228000,-,10149,943,25-Jun-18,Condominium,99 Yrs From 25/06/2008,2013,Resale,Private,27,76,769134,North Region,Yishun
WESTCOVE CONDOMINIUM,12 West Coast Crescent  #04-10 ,1,113,Strata,1020000,-,9027,839,25-Jun-18,Condominium,99 Yrs From 01/03/1995,1998,Resale,Private,5,12,128042,West Region,Clementi
H2O RESIDENCES,32 Fernvale Link  #14-11 ,1,105,Strata,1180000,-,11238,1044,25-Jun-18,Condominium,99 Yrs From 10/05/2010,2015,Resale,HDB,28,79,797531,North East Region,Sengkang
THE MILTONIA RESIDENCES,528 Miltonia Close  #02-24 ,1,80,Strata,785000,-,9813,912,25-Jun-18,Condominium,99 Yrs From 30/11/2010,2014,Resale,HDB,27,76,768108,North Region,Yishun
THE CREST,103 Prince Charles Crescent  #18-09 ,1,83,Strata,1882000,-,22675,2107,25-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,HDB,3,15,159018,Central Region,Bukit Merah
HILLSTA,70 Phoenix Road  #04-18 ,1,92,Strata,1050000,-,11413,1060,25-Jun-18,Condominium,99 Yrs From 03/10/2011,2016,Resale,Private,23,66,667973,West Region,Bukit Batok
HERITAGE VIEW,10 Dover Rise  #03-07 ,1,112,Strata,1438000,-,12839,1193,25-Jun-18,Condominium,99 Yrs From 12/08/1996,2000,Resale,Private,5,13,138680,Central Region,Queenstown
COSTA RHU,3 Rhu Cross  #01-16 ,1,200,Strata,2500000,-,12500,1161,25-Jun-18,Condominium,99 Yrs From 30/05/1994,1997,Resale,Private,15,43,437433,Central Region,Kallang
THE CREST,103 Prince Charles Crescent  #19-07 ,1,118,Strata,2336000,-,19797,1839,25-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,HDB,3,15,159018,Central Region,Bukit Merah
AQUARIUS BY THE PARK,5 Bedok Reservoir View  #01-04 ,1,143,Strata,1400000,-,9790,910,25-Jun-18,Condominium,99 Yrs From 12/06/1996,2000,Resale,Private,16,47,478928,East Region,Bedok
FOREST WOODS,15 Lorong Lew Lian  #04-29 ,1,88,Strata,1547420,-,17584,1634,24-Jun-18,Condominium,99 Yrs From 05/02/2016,Uncompleted,New Sale,Private,19,53,533853,North East Region,Serangoon
THE TAPESTRY,63 Tampines Street 86  #10-57 ,1,92,Strata,1220000,-,13261,1232,24-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528511,East Region,Tampines
PARC BOTANNIA,16 Fernvale Street  #19-22 ,1,55,Strata,859000,-,15618,1451,23-Jun-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797393,North East Region,Sengkang
THE TAPESTRY,61 Tampines Street 86  #06-49 ,1,44,Strata,697000,-,15841,1472,23-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528510,East Region,Tampines
MARTIN MODERN,10 Martin Place  #22-14 ,1,71,Strata,2209000,-,31113,2890,23-Jun-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237963,Central Region,River Valley
THE TAPESTRY,61 Tampines Street 86  #04-44 ,1,41,Strata,648810,-,15825,1470,23-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528510,East Region,Tampines
GEM RESIDENCES,1 Lorong 5 Toa Payoh  #34-03 ,1,98,Strata,1939000,-,19786,1838,23-Jun-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,Private,12,31,319458,Central Region,Toa Payoh
PARC BOTANNIA,12 Fernvale Street  #05-15 ,1,90,Strata,1288112,-,14312,1330,23-Jun-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797391,North East Region,Sengkang
THE LAKESHORE,33 Jurong West Street 41  #14-49 ,1,106,Strata,1225000,-,11557,1074,22-Jun-18,Condominium,99 Yrs From 22/11/2002,2007,Resale,HDB,22,64,649413,West Region,Jurong West
PARC BOTANNIA,12 Fernvale Street  #02-15 ,1,96,Strata,1278112,-,13314,1237,22-Jun-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797391,North East Region,Sengkang
KOVAN REGENCY,42 Kovan Rise  #11-27 ,1,105,Strata,1550000,-,14762,1371,22-Jun-18,Condominium,99 Yrs From 24/04/2012,2015,Resale,Private,19,54,544729,North East Region,Hougang
LIVIA,79 Pasir Ris Grove  #01-41 ,1,107,Strata,850000,-,7944,738,22-Jun-18,Condominium,99 Yrs From 07/01/2008,2011,Resale,HDB,18,51,518209,East Region,Pasir Ris
DAKOTA RESIDENCES,40 Dakota Crescent  #13-15 ,1,95,Strata,1450000,-,15263,1418,22-Jun-18,Condominium,99 Yrs From 11/09/2007,2010,Resale,Private,14,39,399939,Central Region,Geylang
PARC OLYMPIA,64 Flora Drive  #04-53 ,1,108,Strata,1055000,-,9769,908,22-Jun-18,Condominium,99 Yrs From 25/01/2012,2015,Resale,HDB,17,50,506860,East Region,Pasir Ris
KOVAN REGENCY,40 Kovan Rise  #07-21 ,1,91,Strata,1370000,-,15055,1399,22-Jun-18,Condominium,99 Yrs From 24/04/2012,2015,Resale,HDB,19,54,544728,North East Region,Hougang
MELVILLE PARK,16 Simei Street 1  #08-12 ,1,125,Strata,940000,-,7520,699,22-Jun-18,Condominium,99 Yrs From 01/09/1992,1996,Resale,HDB,18,52,529942,East Region,Tampines
8 @ MOUNT SOPHIA,10 Mount Sophia  #04-25 ,1,80,Strata,1318000,-,16475,1531,22-Jun-18,Condominium,103 Yrs From 28/11/2002,2007,Resale,HDB,9,22,228459,Central Region,Rochor
WATERFRONT KEY,770 Bedok Reservoir Road  #07-01 ,1,141,Strata,1820000,-,12908,1199,22-Jun-18,Condominium,99 Yrs From 31/10/2007,2012,Resale,Private,16,47,479250,East Region,Bedok
SEASTRAND,9 Pasir Ris Link  #03-24 ,1,114,Strata,1150000,-,10088,937,22-Jun-18,Condominium,99 Yrs From 03/01/2011,2014,Resale,HDB,18,51,518189,East Region,Pasir Ris
SEASTRAND,11 Pasir Ris Link  #04-27 ,1,113,Strata,1200000,-,10619,987,22-Jun-18,Condominium,99 Yrs From 03/01/2011,2014,Resale,HDB,18,51,518180,East Region,Pasir Ris
EASTPOINT GREEN,5 Simei Street 3  #04-17 ,1,106,Strata,928000,-,8755,813,22-Jun-18,Condominium,99 Yrs From 24/04/1996,1999,Resale,Private,18,52,529892,East Region,Tampines
TREE HOUSE,60 Chestnut Avenue  #22-03 ,1,74,Strata,855000,-,11554,1073,22-Jun-18,Condominium,99 Yrs From 23/11/2009,2013,Resale,HDB,23,67,679517,West Region,Bukit Panjang
CASPIAN,52 Lakeside Drive  #08-09 ,1,115,Strata,1350000,-,11739,1091,22-Jun-18,Condominium,99 Yrs From 17/03/2008,2012,Resale,Private,22,64,648316,West Region,Jurong West
J GATEWAY,2 Gateway Drive  #26-09 ,1,44,Strata,899800,-,20450,1900,22-Jun-18,Condominium,99 Yrs From 28/08/2012,2016,Resale,HDB,22,60,608533,West Region,Jurong East
CARIBBEAN AT KEPPEL BAY,18 Keppel Bay Drive  #07-25 ,1,124,Strata,2136000,-,17226,1600,22-Jun-18,Condominium,99 Yrs From 16/08/1999,2004,Resale,Private,4,9,98644,Central Region,Bukit Merah
SEASTRAND,3 Pasir Ris Link  #03-08 ,1,66,Strata,690000,-,10455,971,22-Jun-18,Condominium,99 Yrs From 03/01/2011,2014,Resale,HDB,18,51,518186,East Region,Pasir Ris
OPTIMA @ TANAH MERAH,88 Tanah Merah Kechil Avenue  #08-22 ,1,143,Strata,1838000,-,12853,1194,22-Jun-18,Condominium,99 Yrs From 09/12/2008,2012,Resale,HDB,16,46,465518,East Region,Bedok
WATERBANK AT DAKOTA,84 Dakota Crescent  #17-30 ,1,45,Strata,825000,-,18333,1703,21-Jun-18,Condominium,99 Yrs From 07/12/2009,2013,Resale,Private,14,39,399948,Central Region,Geylang
CASABLANCA,27 Rosewood Drive  #06-20 ,1,104,Strata,810000,-,7788,724,21-Jun-18,Condominium,99 Yrs From 02/10/2001,2005,Resale,HDB,25,73,737920,North Region,Woodlands
THE TAPESTRY,59 Tampines Street 86  #14-32 ,1,105,Strata,1537380,-,14642,1360,21-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528509,East Region,Tampines
NV RESIDENCES,91 Pasir Ris Grove  #04-28 ,1,118,Strata,1210000,-,10254,953,21-Jun-18,Condominium,99 Yrs From 07/01/2008,2013,Resale,HDB,18,51,518190,East Region,Pasir Ris
GEM RESIDENCES,1 Lorong 5 Toa Payoh  #21-04 ,1,91,Strata,1486000,-,16330,1517,21-Jun-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,HDB,12,31,319458,Central Region,Toa Payoh
PARC BOTANNIA,18 Fernvale Street  #05-33 ,1,90,Strata,1241112,-,13790,1281,21-Jun-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797394,North East Region,Sengkang
THE LAKEFRONT RESIDENCES,48 Lakeside Drive  #12-36 ,1,47,Strata,755000,-,16064,1492,21-Jun-18,Condominium,99 Yrs From 03/08/2010,2014,Resale,HDB,22,64,648305,West Region,Jurong West
THE MINTON,10D Hougang Street 11  #17-49 ,1,91,Strata,1050000,-,11538,1072,21-Jun-18,Condominium,99 Yrs From 27/07/2007,2013,Resale,Private,19,53,534076,North East Region,Hougang
BLUE HORIZON,27 West Coast Crescent  #19-19 ,1,107,Strata,1215000,-,11355,1055,21-Jun-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128048,West Region,Clementi
THE LAKESHORE,33 Jurong West Street 41  #15-46 ,1,106,Strata,1220000,-,11509,1069,21-Jun-18,Condominium,99 Yrs From 22/11/2002,2007,Resale,HDB,22,64,649413,West Region,Jurong West
KOVAN MELODY,27 Kovan Road  #02-27 ,1,98,Strata,1028000,-,10490,975,21-Jun-18,Condominium,99 Yrs From 20/01/2004,2006,Resale,Private,19,54,545023,North East Region,Hougang
SEASONS PARK,499 Yio Chu Kang Road  #12-05 ,1,99,Strata,925000,-,9343,868,21-Jun-18,Condominium,99 Yrs From 01/03/1995,1997,Resale,Private,26,78,787082,North East Region,Ang Mo Kio
SEA ESTA,28 Pasir Ris Link  #01-25 ,1,162,Strata,1490000,-,9198,854,21-Jun-18,Condominium,99 Yrs From 09/01/2012,2015,Resale,Private,18,51,518146,East Region,Pasir Ris
THE CLEARWATER,10 Bedok Reservoir View  #15-31 ,1,226,Strata,1870000,-,8274,769,21-Jun-18,Condominium,99 Yrs From 18/07/1997,2001,Resale,Private,16,47,479236,East Region,Bedok
THE TRILINQ,28B Jalan Lempeng  #32-19 ,1,246,Strata,3238000,-,13163,1223,21-Jun-18,Condominium,99 Yrs From 16/04/2012,2017,Resale,HDB,5,12,128809,West Region,Clementi
THE RAINTREE,93 Bukit Drive  #04-30 ,1,122,Strata,1500000,-,12295,1142,21-Jun-18,Condominium,99 Yrs From 01/03/2003,2008,Resale,HDB,21,58,587844,West Region,Bukit Panjang
SELETAR SPRINGS CONDOMINIUM,102 Gerald Drive  #04-74 ,1,192,Strata,1540000,-,8021,745,21-Jun-18,Condominium,99 Yrs From 12/08/1997,2000,Resale,Private,28,79,798593,North East Region,Hougang
LAGUNA GREEN,20 Jalan Hajijah  #02-08 ,1,99,Strata,1120000,-,11313,1051,21-Jun-18,Condominium,99 Yrs From 13/02/1995,1998,Resale,Private,16,46,468726,East Region,Bedok
DOUBLE BAY RESIDENCES,17 Simei Street 4  #11-01 ,1,118,Strata,1432000,-,12136,1127,21-Jun-18,Condominium,99 Yrs From 07/04/2008,2012,Resale,HDB,18,52,529881,East Region,Tampines
THE LAKESHORE,31 Jurong West Street 41  #13-21 ,1,109,Strata,1288000,-,11817,1098,21-Jun-18,Condominium,99 Yrs From 22/11/2002,2008,Resale,HDB,22,64,649412,West Region,Jurong West
THE CREST,101 Prince Charles Crescent  #20-06 ,1,144,Strata,3019000,-,20965,1948,21-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159017,Central Region,Bukit Merah
THE MILTONIA RESIDENCES,546 Miltonia Close  #05-53 ,1,142,Strata,1200000,-,8451,785,21-Jun-18,Condominium,99 Yrs From 30/11/2010,2014,Resale,Private,27,76,768117,North Region,Yishun
PARC VERA,10 Hougang Street 32  #02-18 ,1,81,Strata,861000,-,10630,988,21-Jun-18,Condominium,99 Yrs From 20/12/2010,2014,Resale,Private,19,53,534037,North East Region,Hougang
BLUE HORIZON,23 West Coast Crescent  #15-08 ,1,108,Strata,1240000,-,11481,1067,21-Jun-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,HDB,5,12,128046,West Region,Clementi
ECO,271 Bedok South Avenue 3  #10-06 ,1,106,Strata,1600000,-,15094,1402,21-Jun-18,Condominium,99 Yrs From 14/05/2012,2017,Resale,HDB,16,46,465489,East Region,Bedok
ROCHELLE AT NEWTON,188 Keng Lee Road  #11-01 ,1,177,Strata,2855000,-,16130,1499,21-Jun-18,Condominium,99 Yrs From 10/03/2008,2012,Resale,Private,11,30,308414,Central Region,Novena
RIPPLE BAY,8 Pasir Ris Link  #11-35 ,1,73,Strata,840000,-,11507,1069,21-Jun-18,Condominium,99 Yrs From 10/08/2011,2015,Resale,HDB,18,51,518162,East Region,Pasir Ris
HERITAGE VIEW,8 Dover Rise  #07-07 ,1,111,Strata,1500000,-,13514,1255,20-Jun-18,Condominium,99 Yrs From 12/08/1996,2000,Resale,HDB,5,13,138679,Central Region,Queenstown
SKIES MILTONIA,25 Miltonia Close  #05-09 ,1,49,Strata,635000,-,12959,1204,20-Jun-18,Condominium,99 Yrs From 20/02/2012,2016,Resale,HDB,27,76,768060,North Region,Yishun
SEA ESTA,30 Pasir Ris Link  #10-28 ,1,104,Strata,1300000,-,12500,1161,20-Jun-18,Condominium,99 Yrs From 09/01/2012,2015,Resale,HDB,18,51,518147,East Region,Pasir Ris
PARC BOTANNIA,18 Fernvale Street  #20-35 ,1,47,Strata,705000,-,15000,1394,20-Jun-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,Private,28,79,797394,North East Region,Sengkang
THE LAKEFRONT RESIDENCES,48 Lakeside Drive  #13-28 ,1,67,Strata,1100000,-,16418,1525,20-Jun-18,Condominium,99 Yrs From 03/08/2010,2014,Resale,HDB,22,64,648305,West Region,Jurong West
FLO RESIDENCE,5 Punggol Field Walk  #03-10 ,1,86,Strata,870000,-,10116,940,20-Jun-18,Condominium,99 Yrs From 05/12/2011,2016,Resale,HDB,19,82,828741,North East Region,Punggol
TREE HOUSE,62 Chestnut Avenue  #24-07 ,1,94,Strata,1188000,-,12638,1174,20-Jun-18,Condominium,99 Yrs From 23/11/2009,2013,Resale,Private,23,67,679518,West Region,Bukit Panjang
CITYLIGHTS,86 Jellicoe Road  #13-18 ,1,83,Strata,1350000,-,16265,1511,20-Jun-18,Condominium,99 Yrs From 05/01/2004,2007,Resale,Private,8,20,208745,Central Region,Kallang
CANBERRA RESIDENCES,513 Canberra Drive  #01-33 ,1,123,Strata,1250000,-,10163,944,20-Jun-18,Condominium,99 Yrs From 08/09/2010,2013,Resale,HDB,27,76,768130,North Region,Sembawang
D'NEST,133 Pasir Ris Grove  #10-23 ,1,70,Strata,850000,-,12143,1128,20-Jun-18,Condominium,99 Yrs From 20/10/2010,2017,Resale,Private,18,51,518131,East Region,Pasir Ris
LIVIA,77 Pasir Ris Grove  #04-36 ,1,117,Strata,1050000,-,8974,834,20-Jun-18,Condominium,99 Yrs From 07/01/2008,2011,Resale,HDB,18,51,518208,East Region,Pasir Ris
THE PEARL @ MOUNT FABER,1 Mount Faber Road  #04-02 ,1,109,Strata,1430000,-,13119,1219,20-Jun-18,Condominium,99 Yrs From 03/12/2002,2005,Resale,HDB,4,9,99206,Central Region,Bukit Merah
GARDENVISTA,950 Dunearn Road  #07-05 ,1,103,Strata,1500000,-,14563,1353,20-Jun-18,Condominium,99 Yrs From 09/09/1999,2006,Resale,HDB,21,58,589474,Central Region,Bukit Timah
WATERBANK AT DAKOTA,84 Dakota Crescent  #04-28 ,1,117,Strata,1775000,-,15171,1409,20-Jun-18,Condominium,99 Yrs From 07/12/2009,2013,Resale,Private,14,39,399948,Central Region,Geylang
THE LAKEFRONT RESIDENCES,48 Lakeside Drive  #10-23 ,1,113,Strata,1490000,-,13186,1225,20-Jun-18,Condominium,99 Yrs From 03/08/2010,2014,Resale,HDB,22,64,648305,West Region,Jurong West
COTE D'AZUR,66 Marine Parade Road  #12-11 ,1,143,Strata,1950000,-,13636,1267,20-Jun-18,Condominium,99 Yrs From 25/07/2001,2004,Resale,Private,15,44,449300,Central Region,Marine Parade
D'LEEDON,15 Leedon Heights  #31-53 ,1,149,Strata,2720000,-,18255,1696,20-Jun-18,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,266225,Central Region,Bukit Timah
THE METROPOLITAN CONDOMINIUM,8 Alexandra View  #12-07 ,1,130,Strata,1750000,-,13462,1251,20-Jun-18,Condominium,99 Yrs From 17/02/2006,2009,Resale,Private,3,15,158747,Central Region,Bukit Merah
SOLEIL @ SINARAN,6 Sinaran Drive  #07-14 ,1,89,Strata,1628888,-,18302,1700,19-Jun-18,Condominium,99 Yrs From 23/10/2006,2011,Resale,Private,11,30,307468,Central Region,Novena
LIVIA,61 Pasir Ris Grove  #14-01 ,1,143,Strata,1450000,-,10140,942,19-Jun-18,Condominium,99 Yrs From 07/01/2008,2011,Resale,HDB,18,51,518215,East Region,Pasir Ris
FOREST HILLS CONDOMINIUM,27 Transit Road  #05-01 ,1,108,Strata,860000,-,7963,740,19-Jun-18,Condominium,99 Yrs From 10/02/2000,2003,Resale,HDB,26,77,778904,North Region,Yishun
SEA ESTA,22 Pasir Ris Link  #08-18 ,1,114,Strata,1238888,-,10867,1010,19-Jun-18,Condominium,99 Yrs From 09/01/2012,2015,Resale,HDB,18,51,518158,East Region,Pasir Ris
AMARYLLIS VILLE,22 Newton Road  #26-07 ,1,157,Strata,2650000,-,16879,1568,19-Jun-18,Condominium,99 Yrs From 24/10/1997,2004,Resale,Private,11,30,307990,Central Region,Novena
WATERFRONT WAVES,760 Bedok Reservoir Road  #12-07 ,1,123,Strata,1500000,-,12195,1133,19-Jun-18,Condominium,99 Yrs From 31/10/2007,2011,Resale,HDB,16,47,479245,East Region,Bedok
VARSITY PARK CONDOMINIUM,76 West Coast Road  #05-105 ,1,188,Strata,1980000,-,10532,978,19-Jun-18,Condominium,99 Yrs From 03/05/2004,2008,Resale,Private,5,12,126826,West Region,Clementi
SEA ESTA,18 Pasir Ris Link  #11-04 ,1,84,Strata,870000,-,10357,962,19-Jun-18,Condominium,99 Yrs From 09/01/2012,2015,Resale,Private,18,51,518156,East Region,Pasir Ris
THE LAKEFRONT RESIDENCES,48 Lakeside Drive  #17-34 ,1,55,Strata,800000,-,14545,1351,19-Jun-18,Condominium,99 Yrs From 03/08/2010,2014,Resale,HDB,22,64,648305,West Region,Jurong West
CENTRAL GROVE,1 Geylang East Avenue 1  #06-05 ,1,109,Strata,1170000,-,10734,997,19-Jun-18,Condominium,99 Yrs From 18/07/1997,2001,Resale,Private,14,38,389778,Central Region,Geylang
GRANDEUR PARK RESIDENCES,9 Bedok South Avenue 3  #04-40 ,1,115,Strata,1863000,-,16200,1505,19-Jun-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,Private,16,46,465465,East Region,Bedok
D'NEST,135 Pasir Ris Grove  #04-31 ,1,87,Strata,1000000,-,11494,1068,19-Jun-18,Condominium,99 Yrs From 20/10/2010,2017,Resale,Private,18,51,518132,East Region,Pasir Ris
